							6566	3446020
7993993	77					10000		
7993916	1352					2000		
7992564	267							
7992297	1044							
7991253	2016							
7989237	496							
7988741	2435							
7986306	1140							
7985166	941							
7984225	1140							
7983085	1698							
7981387	568							
7980819	327							
7980492	53							
7980439	442							
7979997	134							
7979863	1008							
7978855	1791							
7977064	402							
7976662	1150							
7975512	319							
7975193	844							
7974349	1051							
7973298	524							
7972774	705							
7972069	137							
7971932	302							
7971630	638							
7970992	116							
7970876	536							
7970340	223							
7970117	1055							
7969062	605							
7968457	51							
7968406	596							
7967810	422							
7967388	72							
7967316	45							
7967271	412							
7966859	433							
7966426	282							
7966144	1973							
7964171	825							
7963346	169							
7963177	292							
7962885	1324							
7961561	557							
7961004	883							
7960121	278							
7959843	184							
7959659	473							
7959186	1075							
7958111	898							
7957213	2586							
7954627	172							
7954455	423							
7954032	297							
7953735	321							
7953414	1562							
7951852	1286							
7950566	183							
7950383	698							
7949685	303							
7949382	104							
7949278	263							
7949015	1358							
7947657	460							
7947197	423							
7946774	401							
7946373	988							
7945385	383							
7945002	596							
7944406	563							
7943843	3728							
7940115	700							
7939415	2500							
7936915	189							
7936726	368							
7936358	944							
7935414	819							
7934595	21							
7934574	135							
7934439	743							
7933696	540							
7933156	2855							
7930301	2663							
7927638	1355							
7926283	368							
7925915	3203							
7922712	133							
7922579	400							
7922179	832							
7921347	823							
7920524	606							
7919918	453							
7919465	180							
7919285	1877							
7917408	1190							
7916218	624							
7915594	2151							
7913443	2652							
7910791	225							
7910566	569							
7909997	4662							
7905335	601							
7904734	749							
7903985	203							
7903782	57							
7903725	649							
7903076	75							
7903001	353							
7902648	755							
7901893	815							
7901078	937							
7900141	166							
7899975	1351							
7898624	1169							
7897455	297							
7897158	105							
7897053	430							
7896623	688							
7895935	108							
7895827	231							
7895596	270							
7895326	174							
7895152	822							
7894330	1372							
7892958	835							
7892123	416							
7891707	129							
7891578	572							
7891006	2145							
7888861	2278							
7886583	156							
7886427	774							
7885653	152							
7885501	834							
7884667	869							
7883798	278							
7883520	2370							
7881150	1600							
7879550	1085							
7878465	16							
7878449	462							
7877987	484							
7877503	3110							
7874393	1050							
7873343	138							
7873205	1921							
7871284	3515							
7867769	1467							
7866302	2073							
7864229	15							
7864214	493							
7863721	697							
7863024	1224							
7861800	415							
7861385	404							
7860981	1503							
7859478	193							
7859285	456							
7858829	12							
7858817	569							
7858248	660							
7857588	1669							
7855919	658							
7855261	281							
7854980	729							
7854251	1537							
7852714	1160							
7851554	1121							
7850433	318							
7850115	860							
7849255	5204							
7844051	409							
7843642	422							
7843220	2197							
7841023	141							
7840882	241							
7840641	4556							
7836085	731							
7835354	319							
7835035	48							
7834987	615							
7834372	672							
7833700	542							
7833158	2579							
7830579	1046							
7829533	2240							
7827293	225							
7827068	208							
7826860	686							
7826174	367							
7825807	1239							
7824568	904							
7823664	50							
7823614	963							
7822651	1344							
7821307	1005							
7820302	427							
7819875	389							
7819486	588							
7818898	509							
7818389	550							
7817839	968							
7816871	1585							
7815286	1383							
7813903	344							
7813559	721							
7812838	1147							
7811691	4363							
7807328	39							
7807289	406							
7806883	47							
7806836	387							
7806449	809							
7805640	1698							
7803942	471							
7803471	1105							
7802366	1441							
7800925	934							
7799991	992							
7798999	422							
7798577	167							
7798410	91							
7798319	1311							
7797008	281							
7796727	1443							
7795284	1895							
7793389	1036							
7792353	309							
7792044	60							
7791984	1620							
7790364	803							
7789561	818							
7788743	2052							
7786691	734							
7785957	251							
7785706	379							
7785327	42							
7785285	53							
7785232	1168							
7784064	37							
7784027	181							
7783846	4846							
7779000	1566							
7777434	301							
7777133	890							
7776243	470							
7775773	723							
7775050	47							
7775003	217							
7774786	1516							
7773270	1624							
7771646	2256							
7769390	259							
7769131	915							
7768216	154							
7768062	1199							
7766863	2818							
7764045	1747							
7762298	2172							
7760126	877							
7759249	172							
7759077	356							
7758721	334							
7758387	619							
7757768	518							
7757250	132							
7757118	2371							
7754747	4762							
7749985	3349							
7746636	2060							
7744576	1334							
7743242	1321							
7741921	2530							
7739391	724							
7738667	2271							
7736396	694							
7735702	4693							
7731009	60							
7730949	232							
7730717	71							
7730646	352							
7730294	1616							
7728678	3							
7728675	1058							
7727617	654							
7726963	1297							
7725666	397							
7725269	829							
7724440	1432							
7723008	1202							
7721806	963							
7720843	902							
7719941	877							
7719064	434							
7718630	209							
7718421	151							
7718270	89							
7718181	1916							
7716265	4579							
7711686	163							
7711523	2514							
7709009	881							
7708128	2300							
7705828	701							
7705127	1323							
7703804	324							
7703480	505							
7702975	909							
7702066	54							
7702012	3864							
7698148	311							
7697837	857							
7696980	47							
7696933	989							
7695944	769							
7695175	886							
7694289	175							
7694114	509							
7693605	387							
7693218	465							
7692753	1755							
7690998	723							
7690275	826							
7689449	1052							
7688397	1956							
7686441	252							
7686189	181							
7686008	5026							
7680982	834							
7680148	883							
7679265	2264							
7677001	242							
7676759	406							
7676353	362							
7675991	195							
7675796	949							
7674847	497							
7674350	1788							
7672562	2360							
7670202	544							
7669658	204							
7669454	543							
7668911	1563							
7667348	155							
7667193	834							
7666359	663							
7665696	1388							
7664308	1817							
7662491	2310							
7660181	1680							
7658501	836							
7657665	368							
7657297	107							
7657190	639							
7656551	752							
7655799	719							
7655080	1804							
7653276	485							
7652791	21							
7652770	86							
7652684	1993							
7650691	1287							
7649404	587							
7648817	375							
7648442	528							
7647914	1297							
7646617	529							
7646088	682							
7645406	371							
7645035	362							
7644673	455							
7644218	4340							
7639878	762							
7639116	1093							
7638023	864							
7637159	208							
7636951	1493							
7635458	1345							
7634113	679							
7633434	362							
7633072	2988							
7630084	695							
7629389	436							
7628953	953							
7628000	576							
7627424	237							
7627187	207							
7626980	223							
7626757	1058							
7625699	1133							
7624566	1157							
7623409	328							
7623081	26							
7623055	2221							
7620834	83							
7620751	107							
7620644	3							
7620641	16							
7620625	204							
7620421	1539							
7618882	1545							
7617337	438							
7616899	83							
7616816	3026							
7613790	943							
7612847	1890							
7610957	661							
7610296	255							
7610041	1666							
7608375	1003							
7607372	36							
7607336	367							
7606969	1125							
7605844	197							
7605647	1525							
7604122	12							
7604110	529							
7603581	2601							
7600980	1583							
7599397	725							
7598672	1364							
7597308	120							
7597188	48							
7597140	1011							
7596129	708							
7595421	42							
7595379	1932							
7593447	58							
7593389	721							
7592668	70							
7592598	4055							
7588543	412							
7588131	492							
7587639	1435							
7586204	510							
7585694	1538							
7584156	2898							
7581258	2043							
7579215	540							
7578675	377							
7578298	319							
7577979	560							
7577419	24							
7577395	1401							
7575994	2993							
7573001	678							
7572323	40							
7572283	1067							
7571216	726							
7570490	1242							
7569248	220							
7569028	1748							
7567280	1543							
7565737	4958							
7560779	652							
7560127	374							
7559753	481							
7559272	1578							
7557694	129							
7557565	2106							
7555459	248							
7555211	2144							
7553067	531							
7552536	1180							
7551356	1548							
7549808	359							
7549449	137							
7549312	619							
7548693	4055							
7544638	1207							
7543431	760							
7542671	2354							
7540317	2381							
7537936	570							
7537366	671							
7536695	993							
7535702	113							
7535589	1069							
7534520	1710							
7532810	1834							
7530976	1128							
7529848	43							
7529805	110							
7529695	462							
7529233	1097							
7528136	211							
7527925	397							
7527528	302							
7527226	2124							
7525102	835							
7524267	2628							
7521639	3131							
7518508	1224							
7517284	1368							
7515916	3580							
7512336	377							
7511959	892							
7511067	1180							
7509887	2083							
7507804	1139							
7506665	1580							
7505085	201							
7504884	85							
7504799	20							
7504779	554							
7504225	607							
7503618	1990							
7501628	671							
7500957	2319							
7498638	33							
7498605	212							
7498393	476							
7497917	2542							
7495375	757							
7494618	1161							
7493457	890							
7492567	1011							
7491556	530							
7491026	2443							
7488583	277							
7488306	1379							
7486927	673							
7486254	2126							
7484128	1172							
7482956	399							
7482557	75							
7482482	204							
7482278	54							
7482224	1498							
7480726	116							
7480610	559							
7480051	906							
7479145	1908							
7477237	735							
7476502	1102							
7475400	272							
7475128	2505							
7472623	2318							
7470305	824							
7469481	2475							
7467006	945							
7466061	553							
7465508	897							
7464611	853							
7463758	250							
7463508	146							
7463362	1320							
7462042	195							
7461847	18							
7461829	3146							
7458683	2501							
7456182	419							
7455763	813							
7454950	536							
7454414	282							
7454132	538							
7453594	748							
7452846	1240							
7451606	206							
7451400	1453							
7449947	2890							
7447057	887							
7446170	145							
7446025	354							
7445671	1034							
7444637	431							
7444206	1151							
7443055	668							
7442387	548							
7441839	379							
7441460	1478							
7439982	99							
7439883	663							
7439220	1129							
7438091	283							
7437808	528							
7437280	245							
7437035	1265							
7435770	1271							
7434499	21							
7434478	3702							
7430776	1744							
7429032	1536							
7427496	1031							
7426465	274							
7426191	628							
7425563	276							
7425287	92							
7425195	73							
7425122	130							
7424992	67							
7424925	1185							
7423740	156							
7423584	263							
